"Name","Compare","Pos","Age","Shoots","Team","GP","G","A","PTS","PTS/GP","Season Pace","82GP Pace","GWG","PPP","PPTOI","%PP","TOI","SOG","+/-","PIM","Yrs","Sal","Caphit","AAV"
"CONNOR MCDAVID","","C","26","L","EDM","82","64","89","153","1.87","153","153","11","71","03:56","79.6","22:23","351","22","36","3","$12.00M","$12.50M","$12.50M"
"LEON DRAISAITL","","R","27","L","EDM","80","52","76","128","1.60","128","131","11","62","03:58","80.6","21:44","247","7","24","2","$8.00M","$8.50M","$8.50M"
"DAVID PASTRNAK","","R","27","R","BOS","82","61","52","113","1.38","113","113","13","37","03:50","72.0","19:34","407","34","38","7","$6.40M","$6.67M","$6.67M"
"NIKITA KUCHEROV","","R","30","L","T.B","82","30","83","113","1.38","113","113","4","50","04:00","74.6","20:08","271","-2","36","4","$9.00M","$9.50M","$9.50M"
"NATHAN MACKINNON","","C","28","R","COL","71","42","69","111","1.56","111","128","9","34","04:05","75.7","22:19","366","28","30","7","$6.85M","$6.30M","$6.30M"
"MATTHEW TKACHUK","","R","25","L","FLA","79","40","69","109","1.38","109","113","6","36","04:26","76.6","20:26","324","29","123","7","$9.00M","$9.50M","$9.50M"
"JASON ROBERTSON","","L","24","L","DAL","82","46","63","109","1.33","109","109","7","41","03:19","66.3","18:50","313","37","20","3","$4.50M","$7.75M","$7.75M"
"MIKKO RANTANEN","","R","26","L","COL","82","55","50","105","1.28","105","105","9","37","04:09","78.6","22:13","306","15","82","2","$6.00M","$9.25M","$9.25M"
"RYAN NUGENT-HOPKINS","","C","30","L","EDM","82","37","67","104","1.27","104","104","3","53","03:52","78.4","19:48","201","12","35","6","$5.25M","$5.13M","$5.13M"
"ELIAS PETTERSSON","","C","24","L","VAN","80","40","62","102","1.28","102","105","6","25","03:50","70.6","20:33","258","17","14","1","$7.80M","$7.35M","$7.35M"
"ERIK KARLSSON","","D","33","R","PIT","82","25","76","101","1.23","101","101","4","27","03:24","74.1","25:37","209","-26","36","4","$12.00M","$11.50M","$11.50M"
"MITCHELL MARNER","","R","26","R","TOR","80","30","69","99","1.24","99","101","4","36","03:34","73.0","21:17","196","18","28","2","$8.00M","$10.90M","$10.90M"
"JACK HUGHES","","C","22","L","N.J","78","43","56","99","1.27","99","104","6","31","03:10","71.1","19:58","336","11","6","7","$9.00M","$8.00M","$8.00M"
"BRAYDEN POINT","","C","27","R","T.B","82","51","44","95","1.16","95","95","9","30","03:48","70.9","19:40","235","2","7","7","$9.00M","$9.50M","$9.50M"
"TAGE THOMPSON","","C","25","R","BUF","78","47","47","94","1.21","94","99","7","34","03:21","61.7","18:35","297","4","39","7","$1.60M","$1.40M","$1.40M"
"SIDNEY CROSBY","","C","36","L","PIT","82","33","60","93","1.13","93","93","9","27","03:56","69.3","20:09","255","8","52","2","$3.00M","$8.70M","$8.70M"
"ARTEMI PANARIN","","L","31","R","NYR","82","29","63","92","1.12","92","92","4","36","03:35","73.3","19:36","204","4","36","3","$12.50M","$11.64M","$11.64M"
"MIKA ZIBANEJAD","","C","30","R","NYR","82","39","52","91","1.11","91","91","5","39","03:30","71.4","19:58","251","25","20","7","$8.00M","$8.50M","$8.50M"
"TIM STUTZLE","","C","21","L","OTT","78","39","51","90","1.15","90","95","3","28","03:58","65.6","21:16","228","-2","54","7","$0.93M","$0.93M","$3.43M"
"WILLIAM NYLANDER","","R","27","R","TOR","82","40","47","87","1.06","87","87","5","28","03:35","73.0","18:33","293","10","28","1","$6.00M","$6.96M","$6.96M"
"CLAYTON KELLER","","L","25","L","ARI","82","37","49","86","1.05","86","86","4","20","03:13","66.0","20:45","223","-2","49","5","$7.50M","$7.15M","$7.15M"
"AUSTON MATTHEWS","","C","26","L","TOR","74","40","45","85","1.15","85","94","8","28","03:38","73.8","20:17","327","31","20","5","$7.95M","$11.64M","$11.64M"
"STEVEN STAMKOS","","R","33","R","T.B","81","34","50","84","1.04","84","85","6","35","03:58","73.7","19:01","240","-5","46","1","$6.50M","$8.50M","$8.50M"
"ZACH HYMAN","","R","31","R","EDM","79","36","47","83","1.05","83","86","3","26","03:30","70.6","20:09","276","13","39","5","$5.10M","$5.50M","$5.50M"
"J.T. MILLER","","C","30","L","VAN","81","32","51","83","1.02","83","84","3","31","03:59","73.0","20:41","223","-8","60","7","$4.50M","$5.25M","$5.25M"
"BRADY TKACHUK","","L","24","L","OTT","82","35","48","83","1.01","83","83","6","29","04:08","67.8","18:38","347","-11","126","5","$6.50M","$8.21M","$8.21M"
"EVGENI MALKIN","","C","37","L","PIT","82","27","56","83","1.01","83","83","3","36","04:06","72.3","18:35","240","-12","82","3","$8.00M","$6.10M","$6.10M"
"JEFF SKINNER","","L","31","L","BUF","79","35","47","82","1.04","82","85","3","21","03:13","60.2","17:24","241","15","39","4","$10.00M","$9.00M","$9.00M"
"KYLE CONNOR","","L","26","L","WPG","82","32","49","81","0.99","81","81","9","29","03:42","67.1","20:32","274","-12","20","3","$5.00M","$7.14M","$7.14M"
"JOHN TAVARES","","C","33","L","TOR","80","36","44","80","1.00","80","82","9","39","03:27","69.5","17:39","277","-7","34","2","$7.95M","$11.00M","$11.00M"
"NICO HISCHIER","","C","24","L","N.J","81","31","49","80","0.99","80","81","9","19","02:58","68.0","19:18","256","32","10","4","$4.50M","$7.25M","$7.25M"
"CLAUDE GIROUX","","R","35","R","OTT","82","35","44","79","0.96","79","79","6","24","02:43","44.6","18:48","214","5","34","2","$7.00M","$6.50M","$6.50M"
"ALEX TUCH","","R","27","R","BUF","74","36","43","79","1.07","79","88","9","20","03:21","61.1","19:09","218","14","20","3","$4.75M","$4.75M","$4.75M"
"DYLAN LARKIN","","C","27","L","DET","80","32","47","79","0.99","79","81","5","31","03:28","64.6","19:33","244","-7","45","7","$5.25M","$6.10M","$6.10M"
"ALEKSANDER BARKOV","","C","28","L","FLA","68","23","55","78","1.15","78","94","6","30","04:08","68.0","21:13","210","10","8","7","$12.00M","$10.00M","$10.00M"
"JAMIE BENN","","L","34","L","DAL","82","33","45","78","0.95","78","78","4","30","02:56","58.6","15:47","190","23","34","2","$6.50M","$9.50M","$9.50M"
"JOE PAVELSKI","","R","39","R","DAL","82","28","49","77","0.94","77","77","2","27","03:05","61.4","17:43","184","42","8","1","$5.50M","$5.50M","$6.00M"
"JOSH MORRISSEY","","D","28","L","WPG","78","16","60","76","0.97","76","80","6","28","03:43","66.7","24:14","172","2","41","5","$5.20M","$6.25M","$6.25M"
"QUINN HUGHES","","D","24","L","VAN","78","7","69","76","0.97","76","80","0","34","04:07","74.7","25:40","154","15","34","4","$6.50M","$7.85M","$7.85M"
"ALEX OVECHKIN","","L","38","R","WSH","73","42","33","75","1.03","75","84","3","25","04:42","96.5","20:12","294","-16","48","3","$10.00M","$9.50M","$9.50M"
"BROCK NELSON","","C","32","L","NYI","82","36","39","75","0.91","75","75","8","17","02:59","64.1","18:26","222","14","24","2","$5.20M","$6.00M","$6.00M"
"ROOPE HINTZ","","C","26","L","DAL","73","37","38","75","1.03","75","84","5","21","03:00","58.8","17:33","184","31","30","7","$4.45M","$3.15M","$3.15M"
"KIRILL KAPRIZOV","","L","26","L","MIN","67","40","35","75","1.12","75","92","6","32","03:53","76.7","21:07","261","4","35","3","$10.00M","$9.00M","$9.00M"
"ANZE KOPITAR","","C","36","L","L.A","82","28","46","74","0.90","74","74","4","20","03:01","58.8","20:18","169","19","4","3","$7.00M","$10.00M","$10.00M"
"DOUGIE HAMILTON","","D","30","R","N.J","82","22","52","74","0.90","74","74","7","28","03:05","70.3","21:46","275","23","50","5","$6.30M","$9.00M","$9.00M"
"JOHNNY GAUDREAU","","L","30","L","CBJ","80","21","53","74","0.93","74","76","4","23","03:10","69.7","19:25","220","-32","22","6","$9.75M","$9.75M","$9.75M"
"MIRO HEISKANEN","","D","24","L","DAL","79","11","62","73","0.92","73","76","2","34","03:15","64.6","25:29","206","12","32","6","$7.00M","$8.45M","$8.45M"
"JAKE GUENTZEL","","L","29","L","PIT","78","36","37","73","0.94","73","77","6","23","03:54","69.8","20:07","243","2","46","1","$5.00M","$6.00M","$6.00M"
"JESPER BRATT","","R","25","L","N.J","82","32","41","73","0.89","73","73","3","22","02:47","63.7","17:22","212","14","6","7","$5.45M","$5.45M","$5.45M"
"TYLER TOFFOLI","","L","31","R","N.J","82","34","39","73","0.89","73","73","4","25","02:54","56.0","16:37","268","16","28","1","$5.13M","$4.25M","$4.25M"
"BRANDON MONTOUR","","D","29","R","FLA","80","16","57","73","0.91","73","75","5","33","04:17","73.9","24:08","242","9","107","1","$3.50M","$3.50M","$3.50M"
"CARTER VERHAEGHE","","L","28","L","FLA","81","42","31","73","0.90","73","74","2","13","02:13","38.2","17:30","278","10","46","2","$3.00M","$4.17M","$4.17M"
"ANDREI KUZMENKO","","L","27","R","VAN","81","38","35","73","0.90","73","74","4","18","03:00","55.6","16:15","142","10","8","2","$0.95M","$0.95M","$1.80M"
"RASMUS DAHLIN","","D","23","L","BUF","78","15","58","73","0.94","73","77","2","32","03:35","66.7","25:48","205","12","92","7","$5.80M","$6.00M","$6.00M"
"JORDAN KYROU","","R","25","R","STL","79","37","35","72","0.91","72","75","5","23","02:55","59.0","18:00","272","-38","22","7","$3.20M","$2.80M","$2.80M"
"KEVIN FIALA","","L","27","L","L.A","69","23","49","72","1.04","72","86","2","24","02:59","57.0","17:36","208","2","52","6","$6.50M","$7.88M","$7.88M"
"ADAM FOX","","D","25","R","NYR","82","12","60","72","0.88","72","72","5","29","03:34","72.9","24:23","159","28","34","6","$11.00M","$9.50M","$9.50M"
"MARTIN NECAS","","R","24","R","CAR","82","28","43","71","0.87","71","71","5","26","03:03","59.4","18:25","240","5","32","1","$2.50M","$3.00M","$3.00M"
"JARED MCCANN","","L","27","L","SEA","79","40","30","70","0.89","70","73","3","16","02:40","52.8","16:20","210","18","14","4","$5.00M","$5.00M","$5.00M"
"BO HORVAT","","C","28","L","NYI","79","38","32","70","0.89","70","73","5","22","03:31","70.1","20:39","229","0","18","7","$4.45M","$5.50M","$5.50M"
"DYLAN COZENS","","C","22","R","BUF","81","31","37","68","0.84","68","69","1","18","02:48","51.8","16:30","211","-3","41","7","$0.83M","$0.89M","$1.74M"
"MARK SCHEIFELE","","C","30","R","WPG","81","42","26","68","0.84","68","69","10","22","03:40","66.6","20:29","206","-16","43","7","$5.50M","$6.13M","$6.13M"
"PAVEL BUCHNEVICH","","L","28","L","STL","63","26","41","67","1.06","67","87","2","21","02:54","59.9","19:27","123","14","36","2","$5.50M","$5.80M","$5.80M"
"LOGAN COUTURE","","C","34","L","S.J","82","27","40","67","0.82","67","67","4","20","02:58","64.8","19:08","198","-30","19","4","$8.00M","$8.00M","$8.00M"
"SEBASTIAN AHO","","C","26","L","CAR","75","36","31","67","0.89","67","73","9","15","03:12","61.8","19:30","218","8","42","7","$6.00M","$8.46M","$8.46M"
"SAM REINHART","","L","27","R","FLA","82","31","36","67","0.82","67","67","5","27","04:02","69.3","19:47","228","-12","12","1","$8.00M","$6.50M","$6.50M"
"MATS ZUCCARELLO","","R","36","L","MIN","78","22","45","67","0.86","67","70","3","29","03:47","75.9","20:12","198","-3","26","3","$7.50M","$6.00M","$6.00M"
"BRAD MARCHAND","","L","35","L","BOS","73","21","46","67","0.92","67","75","4","29","03:25","64.6","18:32","183","27","74","2","$5.00M","$6.13M","$6.13M"
"TIMO MEIER","","L","27","L","N.J","78","40","26","66","0.85","66","69","5","23","02:55","67.0","19:23","326","-19","43","7","$10.00M","$6.00M","$6.00M"
"JACK EICHEL","","C","26","R","VGK","67","27","39","66","0.99","66","81","2","14","02:39","62.5","18:46","223","26","6","3","$10.00M","$10.00M","$10.00M"
"ALEX DEBRINCAT","","L","25","R","DET","82","27","39","66","0.80","66","66","6","30","04:03","66.4","19:00","263","-30","45","4","$9.00M","$6.40M","$6.40M"
"NICK SUZUKI","","C","24","R","MTL","82","26","40","66","0.80","66","66","2","17","03:21","67.7","21:06","162","-13","33","7","$10.00M","$7.88M","$7.88M"
"ADRIAN KEMPE","","R","27","L","L.A","82","41","25","66","0.80","66","66","6","20","02:54","56.5","18:45","250","22","55","3","$5.25M","$5.50M","$5.50M"
"CALE MAKAR","","D","24","R","COL","60","17","49","66","1.10","66","90","6","30","04:01","72.2","26:23","176","16","30","4","$9.00M","$9.00M","$9.00M"
"ROBERT THOMAS","","C","24","R","STL","73","18","47","65","0.89","65","73","2","22","02:59","60.1","19:21","106","-8","22","7","$3.20M","$2.80M","$2.80M"
"TREVOR ZEGRAS","","C","22","L","ANA","81","23","42","65","0.80","65","66","3","17","02:49","61.2","18:50","184","-25","88","3","$0.93M","$0.93M","$1.78M"
"CHANDLER STEPHENSON","","C","29","L","VGK","81","16","49","65","0.80","65","66","5","15","02:29","59.1","19:01","120","12","26","1","$3.13M","$2.75M","$2.75M"
"BRAYDEN SCHENN","","C","32","L","STL","82","21","44","65","0.79","65","65","3","15","02:36","52.4","18:26","144","-28","50","5","$5.20M","$6.50M","$6.50M"
"DYLAN STROME","","C","26","L","WSH","81","23","42","65","0.80","65","66","2","21","03:00","61.5","16:41","154","-4","24","5","$3.50M","$3.50M","$3.50M"
"ALEX KILLORN","","L","34","L","ANA","82","27","37","64","0.78","64","64","5","12","02:08","39.6","17:13","143","18","45","4","$4.45M","$4.45M","$4.45M"
"ELIAS LINDHOLM","","C","28","R","CGY","80","22","42","64","0.80","64","66","2","21","02:53","56.4","18:39","186","6","14","1","$3.85M","$4.85M","$4.85M"
"BRANDON HAGEL","","L","25","L","T.B","81","30","34","64","0.79","64","65","3","13","02:21","43.4","18:39","178","23","54","7","$1.45M","$1.50M","$1.50M"
"VINCE DUNN","","D","26","L","SEA","81","14","50","64","0.79","64","65","2","15","02:49","56.6","23:40","149","28","55","4","$4.00M","$4.00M","$4.00M"
"MIKHAIL SERGACHEV","","D","25","L","T.B","79","10","54","64","0.81","64","66","2","27","02:33","48.1","23:49","156","13","53","7","$7.20M","$4.80M","$4.80M"
"JORDAN EBERLE","","R","33","R","SEA","82","20","43","63","0.77","63","63","4","15","02:30","50.1","16:41","177","6","34","1","$4.75M","$5.50M","$5.50M"
"MATT BOLDY","","L","22","L","MIN","81","31","32","63","0.78","63","64","5","26","03:48","76.2","18:30","255","1","39","7","$0.93M","$0.88M","$1.33M"
"PIERRE-LUC DUBOIS","","C","25","L","L.A","73","27","36","63","0.86","63","71","1","23","03:38","64.9","18:27","205","5","77","7","$6.00M","$6.00M","$6.00M"
"TOMAS HERTL","","C","29","L","S.J","79","22","41","63","0.80","63","65","1","22","03:03","68.0","19:17","184","-37","42","7","$8.25M","$8.14M","$8.14M"
"VINCENT TROCHECK","","C","30","R","NYR","82","22","41","63","0.77","63","63","3","17","02:58","60.5","19:19","225","3","58","6","$6.00M","$5.63M","$5.63M"
"DRAKE BATHERSON","","R","25","R","OTT","82","22","40","62","0.76","62","62","2","29","03:50","63.0","18:36","249","-34","33","4","$3.50M","$4.98M","$4.98M"
"BRENT BURNS","","D","38","R","CAR","82","18","43","61","0.74","61","61","2","23","03:00","58.4","23:13","255","19","44","2","$6.50M","$8.00M","$8.00M"
"JOEL ERIKSSON EK","","C","26","L","MIN","78","23","38","61","0.78","61","64","1","23","03:24","68.9","19:00","247","4","44","6","$3.00M","$5.25M","$5.25M"
"TROY TERRY","","R","26","R","ANA","70","23","38","61","0.87","61","71","3","12","02:46","59.1","19:22","188","-7","22","7","$1.55M","$1.45M","$1.45M"
"TRAVIS KONECNY","","L","26","R","PHI","60","31","30","61","1.02","61","83","5","15","02:57","60.8","20:07","191","-12","77","2","$5.75M","$5.50M","$5.50M"
"RICKARD RAKELL","","R","30","R","PIT","82","28","32","60","0.73","60","60","2","21","03:18","58.2","18:26","244","-5","16","5","$6.00M","$5.00M","$5.00M"
"VIKTOR ARVIDSSON","","L","30","R","L.A","77","26","33","59","0.77","59","63","2","25","02:15","44.1","17:06","228","-4","24","1","$4.25M","$4.25M","$4.25M"
"ROMAN JOSI","","D","33","L","NSH","67","18","41","59","0.88","59","72","5","24","03:23","67.9","25:10","269","5","36","5","$9.75M","$9.06M","$9.06M"
"CASEY MITTELSTADT","","C","24","L","BUF","82","15","44","59","0.72","59","59","2","16","02:06","39.0","15:44","135","-8","22","1","$2.50M","$2.50M","$2.50M"
"PATRICE BERGERON","","C","38","R","","78","27","31","58","0.74","119","61","7","19","03:23","62.0","17:24","249","35","22","0","$2.50M","$2.50M","$5.00M"
"NICK SCHMALTZ","","R","27","R","ARI","63","22","36","58","0.92","58","75","2","12","02:58","62.7","19:43","132","4","20","3","$4.50M","$5.85M","$5.85M"
"PAVEL ZACHA","","C","26","L","BOS","82","21","36","57","0.70","57","57","3","8","01:43","32.1","16:04","131","26","16","4","$3.50M","$3.50M","$3.50M"
"PATRICK KANE","","R","34","L","","73","21","36","57","0.78","121","64","1","22","03:25","69.8","19:19","227","-22","16","0","$6.90M","$10.50M","$10.50M"
"JONATHAN MARCHESSAULT","","R","32","R","VGK","76","28","29","57","0.75","57","62","4","16","02:18","53.7","17:08","238","2","21","1","$3.50M","$5.00M","$5.00M"
"MATTY BENIERS","","C","20","L","SEA","80","24","33","57","0.71","57","58","4","10","02:20","47.2","17:06","148","14","2","1","$0.93M","$0.90M","$1.85M"
"DAWSON MERCER","","R","21","R","N.J","82","27","29","56","0.68","56","56","6","10","01:19","30.1","16:34","161","22","14","1","$0.93M","$0.89M","$1.29M"
"DAVID PERRON","","R","35","R","DET","82","24","32","56","0.68","56","56","3","22","03:24","63.6","16:55","195","-7","52","1","$4.35M","$4.75M","$4.75M"
"DAVID KREJCI","","C","37","R","","70","16","40","56","0.80","122","66","2","12","02:40","47.5","17:12","112","23","20","0","$1.00M","$1.00M","$3.00M"
"MATT DUCHENE","","C","32","L","DAL","71","22","34","56","0.79","56","65","3","13","02:58","59.7","18:19","168","4","32","3","$8.00M","$8.00M","$8.00M"
"NAZEM KADRI","","C","33","L","CGY","82","24","32","56","0.68","56","56","4","19","02:55","56.3","17:13","267","-19","56","6","$7.00M","$7.00M","$7.00M"
"REILLY SMITH","","L","32","L","PIT","78","26","30","56","0.72","56","59","4","10","02:01","47.8","16:58","181","11","16","2","$5.75M","$5.00M","$5.00M"
"MIKAEL BACKLUND","","C","34","L","CGY","82","19","37","56","0.68","56","56","2","12","01:55","37.1","18:10","259","24","36","3","$5.35M","$5.35M","$5.35M"
"MAX DOMI","","R","28","L","TOR","80","20","36","56","0.70","56","57","4","19","02:59","59.1","17:46","179","-15","82","1","$3.00M","$3.00M","$3.00M"
"ANDREI SVECHNIKOV","","L","23","L","CAR","64","23","32","55","0.86","55","70","4","16","03:09","59.2","18:03","205","6","71","6","$7.00M","$7.75M","$7.75M"
"TYSON BARRIE","","D","32","R","NSH","85","13","42","55","0.65","55","53","1","31","03:06","62.7","19:47","163","-7","36","1","$4.50M","$4.50M","$4.50M"
"BLAKE WHEELER","","R","37","R","NYR","72","16","39","55","0.76","55","63","6","15","02:46","48.6","17:03","126","-3","46","1","$6.50M","$8.25M","$8.25M"
"EVGENY KUZNETSOV","","C","31","L","WSH","81","12","43","55","0.68","55","56","2","18","02:49","57.4","18:04","172","-26","56","2","$5.00M","$7.80M","$7.80M"
"BROCK BOESER","","R","26","R","VAN","74","18","37","55","0.74","55","61","3","16","02:52","51.4","17:14","178","-21","24","2","$6.65M","$6.65M","$6.65M"
"JONATHAN HUBERDEAU","","L","30","L","CGY","79","15","40","55","0.70","55","57","1","15","02:52","56.2","16:52","126","2","36","7","$6.20M","$5.90M","$5.90M"
"ALEX PIETRANGELO","","D","33","R","VGK","73","11","43","54","0.74","54","61","3","14","02:26","57.7","23:59","171","13","16","4","$8.00M","$8.80M","$8.80M"
"KEVIN HAYES","","C","31","L","STL","81","18","36","54","0.67","54","55","1","16","02:38","56.7","17:34","209","-23","23","3","$7.50M","$7.14M","$7.14M"
"CHRIS KREIDER","","L","32","L","NYR","79","36","18","54","0.68","54","56","3","17","03:27","70.9","18:25","229","21","26","4","$6.00M","$6.50M","$6.50M"
"PHILLIP DANAULT","","C","30","L","L.A","82","18","36","54","0.66","54","54","1","20","02:04","40.3","18:19","152","-8","63","4","$5.50M","$5.50M","$5.50M"
"WILLIAM KARLSSON","","C","30","L","VGK","82","14","39","53","0.65","53","53","2","9","01:41","40.0","17:28","160","14","10","4","$5.90M","$5.90M","$5.90M"
"HAMPUS LINDHOLM","","D","29","L","BOS","80","10","43","53","0.66","53","54","2","17","02:26","45.3","23:10","158","49","56","7","$7.25M","$6.50M","$6.50M"
"DREW DOUGHTY","","D","33","R","L.A","81","9","43","52","0.64","52","53","2","27","03:06","60.1","26:14","145","12","34","4","$11.00M","$11.00M","$11.00M"
"J.T. COMPHER","","R","28","R","DET","82","17","35","52","0.63","52","52","3","14","02:46","52.6","20:32","154","8","33","5","$3.50M","$3.50M","$3.50M"
"PATRIK LAINE","","C","25","R","CBJ","55","22","30","52","0.95","52","78","1","16","03:21","72.0","19:07","184","-12","16","3","$7.50M","$8.70M","$8.70M"
"CHARLIE MCAVOY","","D","25","R","BOS","67","7","45","52","0.78","52","64","2","19","02:42","50.2","22:18","105","30","54","7","$9.25M","$9.50M","$9.50M"
"ARTTURI LEHKONEN","","L","28","L","COL","64","21","30","51","0.80","51","65","3","20","03:32","66.8","20:27","150","8","28","4","$5.00M","$4.50M","$4.50M"
"MATHEW BARZAL","","L","26","R","NYI","58","14","37","51","0.88","51","72","5","18","03:29","70.2","18:43","139","7","22","7","$10.00M","$7.00M","$7.00M"
"VLADIMIR TARASENKO","","R","31","L","OTT","69","18","32","50","0.72","50","59","1","14","02:26","51.8","16:48","169","-14","8","1","$5.50M","$7.50M","$7.50M"
"JAKE DEBRUSK","","L","27","L","BOS","64","27","23","50","0.78","50","64","6","14","02:57","53.3","16:47","191","26","16","1","$4.00M","$4.00M","$4.00M"
"ANDERS LEE","","L","33","L","NYI","82","28","22","50","0.61","50","50","4","13","03:05","66.4","17:13","214","-3","50","3","$5.85M","$7.00M","$7.00M"
"TYLER SEGUIN","","R","31","R","DAL","76","21","29","50","0.66","50","54","3","11","02:10","42.8","16:37","189","3","24","4","$13.00M","$9.85M","$9.85M"
"DEVON TOEWS","","D","29","L","COL","80","7","43","50","0.63","50","51","0","7","02:02","38.1","25:06","165","39","26","7","$4.60M","$4.10M","$4.10M"
"JUSTIN FAULK","","D","31","R","STL","82","11","39","50","0.61","50","50","3","10","02:21","47.5","23:23","196","-4","34","4","$5.85M","$6.50M","$6.50M"
"MICHAEL BUNTING","","L","28","L","CAR","82","23","26","49","0.60","49","49","4","10","01:49","37.1","15:48","174","21","103","3","$1.15M","$0.95M","$0.95M"
"RASMUS ANDERSSON","","D","26","R","CGY","79","11","38","49","0.62","49","51","4","21","02:56","56.8","24:05","160","5","26","3","$4.55M","$4.55M","$4.55M"
"MATIAS MACCELLI","","L","23","L","ARI","64","11","38","49","0.77","49","63","1","13","01:57","38.5","15:41","61","0","18","3","$0.93M","$0.85M","$0.93M"
"VICTOR HEDMAN","","D","32","L","T.B","76","9","40","49","0.64","49","53","1","14","02:36","50.0","23:43","185","10","42","2","$8.00M","$7.88M","$7.88M"
"OWEN TIPPETT","","L","24","R","PHI","77","27","22","49","0.64","49","52","4","12","02:21","51.0","17:26","231","-17","16","1","$1.25M","$1.50M","$1.50M"
"NOAH DOBSON","","D","23","R","NYI","78","13","36","49","0.63","49","52","2","18","03:18","71.0","20:23","206","5","20","2","$4.00M","$4.00M","$4.00M"
"YANNI GOURDE","","C","31","L","SEA","81","14","34","48","0.59","48","49","2","4","00:35","11.6","17:08","141","23","76","2","$4.10M","$5.17M","$5.17M"
"TOMAS TATAR","","R","32","L","COL","82","20","28","48","0.59","48","48","1","4","01:38","37.4","15:07","153","41","30","1","$5.25M","$4.50M","$4.50M"
"CAM FOWLER","","D","31","L","ANA","82","10","38","48","0.59","48","48","1","14","02:32","55.1","24:10","130","-23","14","3","$4.75M","$6.50M","$6.50M"
"JASON ZUCKER","","L","31","L","ARI","78","27","21","48","0.62","48","50","5","9","01:37","28.5","15:39","197","-4","47","1","$5.20M","$5.50M","$5.50M"
"ALEXANDER BARABANOV","","L","29","L","S.J","68","15","32","47","0.69","47","57","2","13","02:46","63.1","18:03","120","-31","20","1","$2.50M","$2.50M","$2.50M"
"VALERI NICHUSHKIN","","L","28","L","COL","53","17","30","47","0.89","47","73","2","16","03:34","74.3","20:16","158","15","2","7","$6.00M","$6.13M","$6.13M"
"CONOR GARLAND","","R","27","R","VAN","81","17","29","46","0.57","46","47","2","12","01:33","28.4","15:07","167","-6","31","3","$4.00M","$4.95M","$4.95M"
"DANIEL SPRONG","","L","26","R","DET","66","21","25","46","0.70","46","57","3","14","01:56","39.9","11:25","147","13","14","1","$0.75M","$0.75M","$0.75M"
"BRYAN RUST","","R","31","R","PIT","81","20","26","46","0.57","46","47","2","11","02:10","38.2","17:54","211","-4","31","5","$6.10M","$5.13M","$5.13M"
"MORGAN FROST","","C","24","L","PHI","81","19","27","46","0.57","46","47","3","5","02:10","47.0","16:21","155","-13","24","2","$0.80M","$0.80M","$0.80M"
"MARCUS JOHANSSON","","L","33","L","MIN","80","19","27","46","0.58","46","47","7","18","02:47","53.8","16:29","137","3","8","2","$1.10M","$1.10M","$1.10M"
"BOONE JENNER","","C","30","L","CBJ","68","26","19","45","0.66","45","54","3","11","03:05","66.0","20:12","214","-32","51","3","$3.75M","$3.75M","$3.75M"
"FILIP CHYTIL","","C","24","L","NYR","74","22","23","45","0.61","45","50","4","5","01:22","28.2","14:41","177","15","30","4","$2.60M","$2.30M","$2.30M"
"DOMINIK KUBALIK","","L","28","L","OTT","81","20","25","45","0.56","45","46","3","17","02:26","45.7","14:55","174","-15","24","1","$2.50M","$2.50M","$2.50M"
"DILLON DUBE","","R","25","L","CGY","82","18","27","45","0.55","45","45","3","4","01:21","26.2","15:10","151","-6","47","1","$2.30M","$2.30M","$2.30M"
"IVAN BARBASHEV","","L","27","L","VGK","82","16","29","45","0.55","45","45","2","5","01:56","40.9","16:45","125","1","42","5","$2.60M","$2.25M","$2.25M"
"LUCAS RAYMOND","","R","21","R","DET","74","17","28","45","0.61","45","50","4","19","02:58","55.2","17:23","134","-16","24","1","$0.93M","$0.93M","$3.43M"
"CHARLIE COYLE","","C","31","R","BOS","82","16","29","45","0.55","45","45","0","0","00:40","12.6","16:59","139","29","30","3","$4.00M","$5.25M","$5.25M"
"OLIVER BJORKSTRAND","","R","28","R","SEA","81","20","25","45","0.56","45","46","1","10","02:20","47.0","15:37","198","-1","16","3","$5.25M","$5.40M","$5.40M"
"LAWSON CROUSE","","R","26","L","ARI","77","24","21","45","0.58","45","48","3","8","01:44","35.4","17:45","151","-3","35","4","$3.60M","$4.30M","$4.30M"
"JACK ROSLOVIC","","C","26","R","CBJ","77","11","33","44","0.57","44","47","2","9","02:11","47.1","16:27","123","-14","10","1","$4.00M","$4.00M","$4.00M"
"EETU LUOSTARINEN","","C","25","L","FLA","82","17","26","43","0.52","43","43","1","5","00:54","15.4","15:59","132","19","28","4","$1.50M","$1.50M","$1.50M"
"DARNELL NURSE","","D","28","L","EDM","82","12","31","43","0.52","43","43","4","1","00:56","18.8","23:30","203","26","64","7","$12.00M","$9.25M","$9.25M"
"TOMMY NOVAK","","C","26","L","NSH","51","17","26","43","0.84","43","69","3","12","02:30","56.2","14:39","93","5","8","1","$0.75M","$0.75M","$0.75M"
"BARRETT HAYTON","","C","23","L","ARI","82","19","24","43","0.52","43","43","4","10","02:19","47.5","17:30","178","-5","42","1","$1.42M","$1.78M","$1.78M"
"ANDREW COPP","","C","29","L","DET","82","9","34","43","0.52","43","43","2","5","01:43","32.1","18:09","120","2","25","4","$5.50M","$5.63M","$5.63M"
