"Name","Compare","Pos","Age","Shoots","Team","GP","G","A","PTS","PTS/GP","Season Pace","82GP Pace","GWG","PPP","PPTOI","%PP","TOI","SOG","+/-","PIM","Yrs","Sal","Caphit","AAV"
"HUNTER MCKOWN","","C","21","R","CBJ","12","0","2","2","0.17","2","14","0","0","01:42","29.5","12:14","13","-4","8","2","$0.95M","$0.95M","$1.37M"
"KAEDAN KORCZAK","","D","22","R","VGK","10","0","2","2","0.20","2","16","0","0","00:02","0.9","17:34","16","-3","0","1","$0.75M","$0.79M","$0.91M"
"KYLE CAPOBIANCO","","D","26","L","WPG","14","2","0","2","0.14","2","12","1","0","00:46","14.8","12:20","14","1","6","1","$0.75M","$0.76M","$0.76M"
"DAVID GUST","","R","29","R","CHI","4","1","0","1","0.25","1","21","0","0","01:15","24.7","14:12","7","-2","2","1","$0.75M","$0.76M","$0.76M"
"NIKITA NESTERENKO","","L","22","L","ANA","9","1","0","1","0.11","1","9","0","0","00:28","8.8","13:17","23","-3","0","1","$0.93M","$0.93M","$0.93M"
"SEAN FARRELL","","C","21","L","MTL","6","1","0","1","0.17","1","14","0","0","01:14","35.9","13:52","8","-2","0","2","$0.90M","$0.90M","$1.26M"
"KYLE CRISCUOLO","","C","31","R","N.J","1","1","0","1","1.00","1","82","1","0","00:51","7.7","13:14","2","0","0","1","$0.75M","$0.75M","$0.75M"
"JONAS RONDBJERG","","L","24","L","VGK","13","0","1","1","0.08","1","6","0","0","00:00","0.2","10:10","15","-5","4","0","0","0","0"
"HAYDN FLEURY","","D","27","L","T.B","29","0","1","1","0.03","1","3","0","0","00:03","0.8","12:48","33","-10","14","1","$0.75M","$0.76M","$0.76M"
"JOEL TEASDALE","","R","24","L","","2","0","1","1","0.50","42","41","0","0","00:37","19.1","10:52","1","-2","0","0","$0.75M","$0.75M","$0.75M"
"JORDAN SPENCE","","D","22","R","L.A","6","0","1","1","0.17","1","14","0","0","01:07","19.3","14:00","6","1","0","1","$0.84M","$0.82M","$0.92M"
"KEVIN ROONEY","","C","30","L","CGY","17","0","1","1","0.06","1","5","0","0","00:06","1.8","08:52","14","-2","7","1","$1.30M","$1.30M","$1.30M"
"JOONA LUOTO","","R","26","L","","7","1","0","1","0.14","13","12","0","0","00:11","3.5","12:28","7","-7","0","0","$0.75M","$0.75M","$0.75M"
"BILLY SWEEZEY","","D","27","R","CBJ","9","0","1","1","0.11","1","9","0","0","00:00","0.0","17:07","3","-3","9","1","$0.75M","$0.76M","$0.76M"
"STEVEN SANTINI","","D","28","R","L.A","4","0","1","1","0.25","1","21","0","0","00:01","0.3","12:31","5","0","2","1","$0.75M","$0.75M","$0.75M"
"LIBOR HAJEK","","D","25","L","","16","1","0","1","0.06","6","5","0","0","00:00","0.0","13:16","13","2","4","0","$0.80M","$0.80M","$0.80M"
"JOONA KOPPANEN","","C","25","L","PIT","5","0","1","1","0.20","1","16","0","0","00:11","4.4","10:50","2","0","4","2","$0.75M","$0.75M","$0.75M"
"JOSEPH CRAMAROSSA","","C","30","L","","4","1","0","1","0.25","22","21","0","0","00:00","0.0","07:48","1","0","4","0","$0.75M","$0.75M","$0.75M"
"BRENDAN GAUNCE","","C","29","L","CBJ","5","0","1","1","0.20","1","16","0","0","00:14","9.0","10:28","9","-1","2","1","$0.75M","$0.76M","$0.76M"
"LUKE PHILP","","C","27","R","CHI","3","0","1","1","0.33","1","27","0","0","00:03","1.3","11:41","0","0","2","1","$0.75M","$0.75M","$0.75M"
"DYLAN MCILRATH","","D","31","R","WSH","6","0","1","1","0.17","1","14","0","0","00:00","0.0","11:41","1","-6","7","2","$0.75M","$0.75M","$0.75M"
"COREY SCHUENEMAN","","D","28","L","COL","7","0","1","1","0.14","1","12","0","0","00:00","0.0","14:42","8","1","0","1","$0.75M","$0.75M","$0.75M"
"VINCENT IORIO","","D","20","R","WSH","3","0","1","1","0.33","1","27","0","0","00:04","1.6","14:21","3","0","0","3","0","$0.85M","$0.89M"
"VILLE HEINOLA","","D","22","L","WPG","10","0","1","1","0.10","1","8","0","0","00:50","19.0","13:16","5","-5","2","1","$0.83M","$0.86M","$1.08M"
"JAKE LIVINGSTONE","","D","24","R","NSH","5","0","1","1","0.20","1","16","0","0","00:02","0.7","15:27","3","-2","2","2","$0.93M","$2.00M","$2.31M"
"TUCKER POOLMAN","","D","30","R","VAN","3","0","1","1","0.33","1","27","0","0","00:04","0.8","13:58","3","1","0","2","$2.25M","$2.50M","$2.50M"
"CARSON MEYER","","R","26","R","CBJ","14","0","1","1","0.07","1","6","0","0","00:13","5.8","09:43","17","-2","6","1","$0.75M","$0.75M","$0.75M"
"AIDAN MCDONOUGH","","L","23","L","VAN","6","1","0","1","0.17","1","14","0","0","00:08","2.0","09:19","4","-2","2","1","$0.93M","$0.93M","$0.93M"
"JUSTIN RICHARDS","","C","25","R","BUF","2","0","1","1","0.50","1","41","0","0","00:29","10.3","10:48","0","-1","0","1","$0.75M","$0.75M","$0.75M"
"DREW HELLESON","","D","22","R","ANA","3","1","0","1","0.33","1","27","0","0","00:07","2.0","13:39","4","0","2","2","$0.93M","$0.93M","$0.93M"
