"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"837","Ilya Mikheyev","VAN","R","46","619.63333333333","12","13","8","5","25","62.50","78","15.38","8.05","115","93","79","41","2","10","2","1","1","0","0","9","8","12","13","26","10","2","5","28.57"
"865","Seth Jarvis","CAR","C","82","1090.0833333333","13","12","6","6","25","55.56","145","8.97","18.3","245","200","163","99","12","24","6","3","3","0","0","14","26","34","68","154","42","8","13","38.10"
"176","Mark Stone","VGK","R","43","620.35","11","13","8","5","24","68.57","79","13.92","11.05","137","111","104","61","2","11","6","3","3","0","0","8","18","36","26","39","19","0","1","0.00"
"267","Colton Sissons","NSH","C","82","972.28333333333","9","15","4","11","24","68.57","71","12.68","8.46","145","108","85","43","4","15","18","9","9","0","0","16","21","22","153","67","52","391","302","56.42"
"277","Erik Gustafsson","TOR, WSH","D","70","1143.9","7","17","9","8","24","44.44","102","6.86","5.04","220","157","70","18","5","13","21","9","8","1","0","9","40","20","48","111","57","0","0","-"
"283","Alexander Kerfoot","TOR","C","82","971.93333333333","6","18","10","8","24","58.54","112","5.36","11.6","190","148","126","60","6","11","30","15","15","0","0","16","33","37","50","170","36","40","52","43.48"
"292","Dominik Kubalik","DET","L","81","957.71666666667","12","12","9","3","24","55.81","112","10.71","13.01","205","159","123","59","10","17","20","10","10","0","0","15","15","11","85","42","24","10","12","45.45"
"311","Miles Wood","N.J","L","76","819.96666666667","11","13","9","4","24","75.00","148","7.43","11.77","245","196","123","60","35","23","74","25","21","2","2","24","25","15","98","88","19","1","5","16.67"
"343","Valeri Nichushkin","COL","R","53","734.91666666667","5","19","10","9","24","63.16","107","4.67","8.74","176","140","106","39","7","10","2","1","1","0","0","11","21","25","51","55","24","0","1","0.00"
"382","Kasperi Kapanen","PIT, STL","R","66","737.65","8","16","12","4","24","77.42","96","8.33","6.77","148","121","75","24","3","10","16","8","8","0","0","8","17","15","93","56","18","27","40","40.30"
"416","Sammy Blais","NYR, STL","L","71","767.4","9","15","6","9","24","72.73","61","14.75","7.11","114","91","73","36","2","5","28","13","13","0","0","19","21","16","229","102","34","2","5","28.57"
"432","Noah Hanifin","CGY","D","81","1406.8333333333","5","19","10","9","24","35.29","129","3.88","6.35","291","194","84","18","3","25","27","11","10","1","0","5","43","30","68","87","97","0","0","-"
"433","Rasmus Andersson","CGY","D","79","1393.05","8","16","11","5","24","35.29","110","7.27","5.51","206","156","63","14","6","15","18","9","9","0","0","12","41","21","40","86","104","0","0","-"
"490","Evan Rodrigues","COL","C","69","1021.45","8","16","9","7","24","47.06","149","5.37","13.19","258","198","141","56","8","21","26","13","13","0","0","16","26","27","33","105","25","93","76","55.03"
"573","Michael McLeod","N.J","C","80","860.78333333333","3","21","11","10","24","70.59","83","3.61","8.65","152","113","89","46","8","12","43","13","9","3","1","18","25","25","121","109","41","473","300","61.19"
"667","Alex Iafallo","L.A","L","59","725.23333333333","6","18","10","8","24","75.00","101","5.94","9.07","167","128","95","50","11","17","16","8","8","0","0","7","7","24","26","47","22","6","5","54.55"
"669","Neal Pionk","WPG","D","82","1419.4833333333","6","18","7","11","24","42.11","113","5.31","5.12","234","171","48","12","7","16","35","16","15","1","0","12","44","27","135","133","107","0","0","-"
"736","Ty Dellandrea","DAL","C","82","976.08333333333","8","16","9","7","24","57.14","83","9.64","7.94","157","119","102","41","4","11","50","21","19","2","0","23","24","17","119","150","34","91","83","52.30"
"790","Nico Sturm","S.J","C","74","852.51666666667","12","12","7","5","24","64.86","100","12.00","9.15","161","138","89","48","13","10","23","10","9","1","0","9","16","29","94","85","36","388","302","56.23"
"804","Cole Caufield","MTL","R","46","632.65","17","7","2","5","24","64.86","105","16.19","9.72","190","145","95","36","14","10","2","1","1","0","0","10","20","19","17","33","11","0","0","-"
"913","Kent Johnson","CBJ","C","79","964.3","9","15","11","4","24","61.54","93","9.68","8.2","162","123","90","39","3","11","14","7","7","0","0","10","31","25","12","61","30","38","91","29.46"
"916","Owen Power","BUF","D","79","1560.3833333333","3","21","8","13","24","27.27","106","2.83","6.29","184","132","80","18","1","16","18","9","9","0","0","8","43","22","24","135","73","0","0","-"
"927","Mason McTavish","ANA","C","80","999.18333333333","8","16","12","4","24","72.73","98","8.16","11.84","171","133","112","61","6","22","36","17","17","0","0","22","25","25","53","37","36","282","387","42.15"
"92","Jared Spurgeon","MIN","D","79","1274.6166666667","9","14","7","7","23","40.35","123","7.32","6.95","240","176","81","24","5","16","14","7","7","0","0","5","16","8","56","74","119","0","0","-"
"96","Marcus Johansson","MIN, WSH","L","80","972.45","11","12","8","4","23","51.11","96","11.46","8.14","167","122","101","38","3","16","8","4","4","0","0","13","24","24","19","89","19","17","19","47.22"
"120","Mattias Ekholm","EDM, NSH","D","78","1304.2333333333","8","15","10","5","23","36.51","118","6.78","6.29","246","168","74","22","2","15","22","11","11","0","0","7","33","21","77","101","74","0","0","-"
"132","Nic Dowd","WSH","C","65","692.23333333333","13","10","7","3","23","74.19","55","23.64","6.98","96","75","69","34","1","9","24","11","11","0","0","15","28","24","128","83","41","336","270","55.45"
"156","Jaden Schwartz","SEA","C","71","997.88333333333","9","14","8","6","23","65.71","116","7.76","12.09","209","149","125","51","9","16","20","10","10","0","0","6","27","42","53","79","24","24","35","40.68"
"191","Adam Lowry","WPG","C","82","932.61666666667","9","14","7","7","23","69.70","93","9.68","13.49","161","141","120","73","3","22","43","14","9","5","0","12","18","24","150","104","33","456","408","52.78"
"312","Nicholas Paul","T.B","L","80","1041.1333333333","9","14","7","7","23","53.49","94","9.57","10.57","176","142","119","53","21","11","25","11","10","1","0","17","30","43","103","111","38","390","333","53.94"
"417","Victor Olofsson","BUF","L","75","847.28333333333","17","6","5","1","23","67.65","115","14.78","9.15","188","147","98","30","5","9","2","1","1","0","0","10","17","20","15","41","12","0","5","0.00"
"512","Mason Marchment","DAL","L","68","923.5","8","15","9","6","23","74.19","116","6.90","11.37","210","164","136","48","6","20","60","23","20","2","1","26","36","34","85","103","37","6","10","37.50"
"586","Ross Colton","T.B","C","81","889.33333333333","12","11","8","3","23","71.88","123","9.76","14.9","224","180","142","77","18","14","50","18","15","2","1","19","20","36","182","114","27","96","74","56.47"
"668","David Kampf","TOR","C","82","997.93333333333","7","16","7","9","23","62.16","100","7.00","10.8","153","125","102","53","3","16","8","4","4","0","0","9","26","39","69","131","22","425","331","56.22"
"739","Jack McBain","ARI","C","82","927.35","10","13","8","5","23","74.19","72","13.89","8.9","132","105","97","53","3","11","60","24","20","4","0","14","26","17","293","117","46","300","361","45.39"
"745","Rasmus Sandin","TOR, WSH","D","71","1157.8666666667","7","16","6","10","23","38.33","73","9.59","3.26","149","97","50","10","6","8","32","13","11","2","0","9","44","23","134","158","73","0","0","-"
"773","Yegor Sharangovich","N.J","C","75","897.88333333333","9","14","8","6","23","63.89","111","8.11","13.96","207","157","139","69","24","14","16","8","8","0","0","6","26","28","20","68","30","25","50","33.33"
"784","Logan O'Connor","COL","R","82","985.21666666667","7","16","11","5","23","60.53","92","7.61","10.82","182","140","115","61","4","11","37","17","16","1","0","15","20","35","107","136","36","1","6","14.29"
"826","Shane Pinto","OTT","C","82","1055.6666666667","14","9","4","5","23","63.89","114","12.28","13.33","188","155","133","62","11","20","18","9","9","0","0","20","26","34","70","81","40","422","383","52.42"
"883","Cole Perfetti","WPG","C","51","662.75","5","18","8","10","23","79.31","73","6.85","7.82","128","100","87","37","7","6","16","8","8","0","0","5","14","17","32","43","21","3","7","30.00"
"21","T.J. Oshie","WSH","R","58","723.9","10","12","5","7","22","75.86","72","13.89","9.26","137","108","96","51","4","14","51","17","13","3","1","23","24","40","116","53","29","14","12","53.85"
