"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"58","Evgenii Dadonov","DAL, MTL","R","73","908.41666666667","7","15","8","7","22","57.89","97","7.22","11.45","178","133","99","58","5","17","18","9","9","0","0","8","30","18","31","52","38","1","5","16.67"
"185","Dylan DeMelo","WPG","D","75","1230.2666666667","3","19","9","10","22","41.51","87","3.45","4.2","184","128","49","10","2","11","50","25","25","0","0","13","42","15","113","102","71","0","0","-"
"197","Jean-Gabriel Pageau","NYI","C","70","861.36666666667","3","19","11","8","22","62.86","85","3.53","9.68","144","119","95","49","12","13","12","6","6","0","0","7","30","23","161","89","43","500","349","58.89"
"199","Scott Mayfield","NYI","D","82","1442.2333333333","6","16","7","9","22","43.14","118","5.08","4.98","291","171","70","14","2","24","70","27","25","0","2","14","59","21","99","89","118","0","0","-"
"204","Matt Nieto","COL, S.J","L","81","897.68333333333","11","11","4","7","22","56.41","104","10.58","11.04","158","131","107","58","15","13","16","8","8","0","0","8","18","27","40","86","25","7","8","46.67"
"216","Jamie Oleksiak","SEA","D","75","1193.75","7","15","6","9","22","37.93","69","10.14","3.37","153","102","50","8","2","5","60","21","15","6","0","9","33","34","110","99","82","0","0","-"
"241","Scott Laughton","PHI","C","78","1056.1","8","14","6","8","22","52.38","123","6.50","9","204","156","99","40","3","21","40","16","15","0","1","14","33","21","148","47","37","330","357","48.03"
"243","Olli Maatta","DET","D","78","1282.7166666667","5","17","8","9","22","53.66","59","8.47","2.42","134","89","31","3","1","6","14","7","7","0","0","7","34","23","63","161","99","0","0","-"
"254","Matt Grzelcyk","BOS","D","75","1186.4833333333","3","19","8","11","22","31.43","89","3.37","3.75","185","135","43","7","2","11","26","13","13","0","0","4","29","13","48","94","76","0","0","-"
"316","Andre Burakovsky","SEA","L","49","656.25","8","14","10","4","22","73.33","79","10.13","6.41","141","106","79","23","3","11","14","7","7","0","0","9","14","29","17","64","14","0","5","0.00"
"350","Anthony Mantha","WSH","R","67","854.41666666667","10","12","8","4","22","62.86","108","9.26","11.08","180","141","117","52","6","15","31","11","8","3","0","13","28","22","66","42","21","6","7","46.15"
"362","Frederick Gaudreau","MIN","C","82","980.78333333333","9","13","8","5","22","61.11","107","8.41","8.51","158","131","86","38","5","17","10","5","5","0","0","8","16","36","41","45","37","357","381","48.37"
"553","Tyson Jost","BUF, MIN","C","71","826.2","5","17","8","9","22","68.75","92","5.43","10.5","164","134","113","53","3","13","24","9","7","2","0","16","7","19","58","120","29","158","224","41.36"
"635","Eeli Tolvanen","NSH, SEA","R","61","722.05","14","8","5","3","22","53.66","88","15.91","7.78","159","127","79","34","2","11","14","7","7","0","0","5","7","18","90","44","48","2","9","18.18"
"4","Zach Parise","NYI","L","82","1007.1","12","9","6","3","21","60.00","136","8.82","18","210","172","157","96","12","30","22","11","11","0","0","10","20","14","82","72","55","6","13","31.58"
"9","Mark Giordano","TOR","D","78","1211.1666666667","2","19","8","11","21","37.50","97","2.06","3.34","208","139","57","6","5","18","45","21","20","1","0","8","37","19","55","160","109","0","0","-"
"30","Nick Foligno","BOS","L","60","637.45","8","13","10","3","21","63.64","59","13.56","5.84","95","79","61","31","2","10","43","17","14","3","0","17","14","20","145","51","27","25","24","51.02"
"50","James van Riemsdyk","PHI","L","61","772.25","8","13","7","6","21","61.76","95","8.42","9.7","156","125","90","52","7","14","26","13","13","0","0","6","9","23","16","53","19","7","7","50.00"
